"Step","Group: Exp4c v2 - train_loss","Group: Exp4c v2 - train_loss__MIN","Group: Exp4c v2 - train_loss__MAX"
"0","0.6946244835853577","0.6940246820449829","0.6952242851257324"
"1","0.6708035171031952","0.6697146892547607","0.6718923449516296"
"2","0.6718128323554993","0.6712698340415955","0.6723558306694031"
"3","0.6701434552669525","0.6689618229866028","0.6713250875473022"
"4","0.6672422587871552","0.6649266481399536","0.6695578694343567"
"5","0.6617628633975983","0.6575027108192444","0.6660230159759521"
"6","0.6575338542461395","0.6508971452713013","0.6641705632209778"
"7","0.651218593120575","0.6427392363548279","0.659697949886322"
"8","0.6457609534263611","0.6357113718986511","0.655810534954071"
"9","0.6355458199977875","0.624452531337738","0.6466391086578369"
"10","0.6303118765354156","0.6196339130401611","0.6409898400306702"
"11","0.6240035891532898","0.6129741072654724","0.6350330710411072"
"12","0.6221595406532288","0.6116359233856201","0.6326831579208374"
"13","0.6175919771194458","0.6079542636871338","0.6272296905517578"
"14","0.61369588971138","0.6038627624511719","0.6235290169715881"
"15","0.6092564761638641","0.5986663699150085","0.6198465824127197"
"16","0.6050705909729004","0.5937790274620056","0.6163621544837952"
"17","0.6001132726669312","0.5885092616081238","0.6117172837257385"
"18","0.5958612859249115","0.5830556154251099","0.6086669564247131"
"19","0.5939744412899017","0.5805889964103699","0.6073598861694336"
"20","0.5891833901405334","0.5753886699676514","0.6029781103134155"
"21","0.5870232880115509","0.5727018117904663","0.6013447642326355"
"22","0.5863123536109924","0.571203351020813","0.6014213562011719"
"23","0.5845063924789429","0.5685175657272339","0.6004952192306519"
"24","0.5815946757793427","0.5660737156867981","0.5971156358718872"
"25","0.5785030722618103","0.5630532503128052","0.5939528942108154"
"26","0.5740305483341217","0.5586777925491333","0.5893833041191101"
"27","0.572068065404892","0.556710958480835","0.587425172328949"
"28","0.570875883102417","0.555641770362854","0.58610999584198"
"29","0.567931056022644","0.5527201294898987","0.5831419825553894"
"30","0.56489098072052","0.5499061942100525","0.5798757672309875"
"31","0.5618361234664917","0.5471382141113281","0.5765340328216553"
"32","0.559370756149292","0.5447186827659607","0.5740228295326233"
"33","0.5560221970081329","0.5414125919342041","0.5706318020820618"
"34","0.5522461831569672","0.5376794338226318","0.5668129324913025"
"35","0.5498148798942566","0.5353565216064453","0.5642732381820679"
"36","0.5469563603401184","0.532572865486145","0.5613398551940918"
"37","0.5452481508255005","0.5310098528862","0.559486448764801"
"38","0.5423922836780548","0.5283082723617554","0.5564762949943542"
"39","0.5413052141666412","0.5272654891014099","0.5553449392318726"
"40","0.5394824147224426","0.5255818367004395","0.5533829927444458"
"41","0.5362919867038727","0.522630512714386","0.5499534606933594"
"42","0.5349786281585693","0.5215721726417542","0.5483850836753845"
"43","0.5327127873897552","0.5196821093559265","0.545743465423584"
"44","0.5294328033924103","0.5167715549468994","0.5420940518379211"
"45","0.5250095725059509","0.5128053426742554","0.5372138023376465"
"46","0.5239221155643463","0.5120006203651428","0.5358436107635498"
"47","0.5225283801555634","0.5107436776161194","0.5343130826950073"
"48","0.5211341679096222","0.5093845129013062","0.5328838229179382"
"49","0.5202616155147552","0.5087345242500305","0.53178870677948"
"50","0.5186630189418793","0.5075240135192871","0.5298020243644714"
"51","0.5171682238578796","0.5064237117767334","0.5279127359390259"
"52","0.5150598883628845","0.5045235753059387","0.5255962014198303"
"53","0.5129190981388092","0.502794086933136","0.5230441093444824"
"54","0.5117144286632538","0.5018249154090881","0.5216039419174194"
"55","0.5124196112155914","0.5027923583984375","0.5220468640327454"
"56","0.5110786855220795","0.5017356276512146","0.5204217433929443"
"57","0.5191423892974854","0.5191423892974854","0.5191423892974854"
"58","0.48117056488990784","0.44471436738967896","0.5176267623901367"
"59","0.4749876707792282","0.4355650246143341","0.5144103169441223"
"60","0.47805218398571014","0.44312217831611633","0.512982189655304"
"61","0.4804159551858902","0.4512215554714203","0.5096103549003601"
"62","0.47665560245513916","0.44626712799072266","0.5070440769195557"
"63","0.47947269678115845","0.45463883876800537","0.5043065547943115"
"64","0.47786886990070343","0.45259585976600647","0.5031418800354004"
"65","0.47800782322883606","0.45492786169052124","0.5010877847671509"
"66","0.4782208502292633","0.45608824491500854","0.5003534555435181"
"67","0.4757889062166214","0.45193061232566833","0.49964720010757446"
"68","0.47730734944343567","0.4572448134422302","0.4973698854446411"
"69","0.47876831889152527","0.4615819752216339","0.4959546625614166"
"70","0.47793853282928467","0.46050724387168884","0.4953698217868805"
"71","0.47889217734336853","0.4647367000579834","0.49304765462875366"
"72","0.4785328209400177","0.46577128767967224","0.49129435420036316"
"73","0.47840870916843414","0.4669739603996277","0.4898434579372406"
"74","0.4762025475502014","0.4642468988895416","0.4881581962108612"
"75","0.47514577209949493","0.4618624448776245","0.48842909932136536"
"76","0.47396302223205566","0.4616035223007202","0.4863225221633911"
"77","0.4729509800672531","0.46197155117988586","0.48393040895462036"
"78","0.4706694483757019","0.4590214490890503","0.4823174476623535"
"79","0.4689425677061081","0.45719221234321594","0.48069292306900024"
"80","0.4671407490968704","0.45592084527015686","0.478360652923584"
"81","0.466046467423439","0.45443490147590637","0.4776580333709717"
"82","0.4655173569917679","0.45514795184135437","0.4758867621421814"
"83","0.4646666347980499","0.45454591512680054","0.4747873544692993"
"84","0.4639122039079666","0.4547106623649597","0.4731137454509735"
"85","0.46273764967918396","0.4548991918563843","0.47057610750198364"
"86","0.46286672353744507","0.45574262738227844","0.4699908196926117"
"87","0.4627361297607422","0.4558992385864258","0.4695730209350586"
"88","0.46094396710395813","0.4540371596813202","0.46785077452659607"
"89","0.46117763221263885","0.45428040623664856","0.46807485818862915"
"90","0.4604833126068115","0.45388221740722656","0.4670844078063965"
"91","0.45932741463184357","0.45265114307403564","0.4660036861896515"
"92","0.4584330767393112","0.4526146352291107","0.4642515182495117"
"93","0.4566922187805176","0.4511352479457855","0.46224918961524963"
"94","0.4559093713760376","0.45092326402664185","0.46089547872543335"
"95","0.4543478339910507","0.4490908682346344","0.45960479974746704"
"96","0.4537084698677063","0.44986802339553833","0.45754891633987427"
"97","0.45210734009742737","0.4482632577419281","0.45595142245292664"
"98","0.4504739046096802","0.4466608464717865","0.45428696274757385"
"99","0.44935768842697144","0.44639211893081665","0.4523232579231262"
"100","0.44804251194000244","0.444582462310791","0.45150256156921387"
"101","0.4468544125556946","0.4434240460395813","0.45028477907180786"
"102","0.4456951320171356","0.44240859150886536","0.4489816725254059"
"103","0.444717139005661","0.4412693679332733","0.4481649100780487"
"104","0.44394202530384064","0.44018152356147766","0.4477025270462036"
"105","0.44225193560123444","0.4375631511211395","0.44694072008132935"
"106","0.4408813863992691","0.4365760385990143","0.4451867341995239"
"107","0.4397212862968445","0.43518054485321045","0.4442620277404785"
"108","0.43900151550769806","0.4345375895500183","0.4434654414653778"
"109","0.43781618773937225","0.433242529630661","0.4423898458480835"
"110","0.43705062568187714","0.43232184648513794","0.44177940487861633"
"111","0.43550431728363037","0.4307975471019745","0.44021108746528625"
"112","0.43517544865608215","0.431005597114563","0.4393453001976013"
"113","0.433732807636261","0.4294678866863251","0.4379977285861969"
"114","0.43373773992061615","0.4293668866157532","0.4381085932254791"
"115","0.432621106505394","0.4285648763179779","0.43667733669281006"
"116","0.4314207285642624","0.4275411367416382","0.4353003203868866"
"117","0.4302227199077606","0.4258718490600586","0.43457359075546265"
"118","0.42861273884773254","0.424265056848526","0.4329604208469391"
"119","0.4275568425655365","0.42333078384399414","0.43178290128707886"
"120","0.4268300235271454","0.4228256940841675","0.4308343529701233"
"121","0.4258776754140854","0.4220556318759918","0.42969971895217896"
"122","0.4247943311929703","0.420822411775589","0.42876625061035156"
"123","0.42350396513938904","0.42016565799713135","0.42684227228164673"
"124","0.42232152819633484","0.4185885488986969","0.4260545074939728"
"125","0.4212508201599121","0.4177192151546478","0.4247824251651764"
"126","0.4206407070159912","0.41692328453063965","0.4243581295013428"
"127","0.4194699823856354","0.41585803031921387","0.4230819344520569"
"128","0.41839104890823364","0.4145202338695526","0.4222618639469147"
"129","0.41757962107658386","0.41411176323890686","0.42104747891426086"
"130","0.41703784465789795","0.41299811005592346","0.42107757925987244"
"131","0.41597405076026917","0.4120207130908966","0.4199273884296417"
"132","0.4152491092681885","0.41076424717903137","0.4197339713573456"
"133","0.4141838550567627","0.4092588722705841","0.4191088378429413"
"134","0.4134552627801895","0.4084247052669525","0.4184858202934265"
"135","0.4125295728445053","0.40775904059410095","0.41730010509490967"
"136","0.41179074347019196","0.4072919487953186","0.4162895381450653"
"137","0.4109819382429123","0.40632131695747375","0.41564255952835083"
"138","0.4100540578365326","0.40474626421928406","0.41536185145378113"
"139","0.40952828526496887","0.4041289985179901","0.41492757201194763"
"140","0.40890492498874664","0.40375760197639465","0.41405224800109863"
"141","0.4083634912967682","0.40304088592529297","0.4136860966682434"
"142","0.407061442732811","0.401729017496109","0.41239386796951294"
"143","0.4064062833786011","0.4010034203529358","0.41180914640426636"
"144","0.40577803552150726","0.4001906216144562","0.41136544942855835"
"145","0.4052281975746155","0.3998682498931885","0.4105881452560425"
"146","0.40424293279647827","0.3988999128341675","0.40958595275878906"
"147","0.4037136286497116","0.3982306718826294","0.4091965854167938"
"148","0.4032057225704193","0.3977467119693756","0.408664733171463"
"149","0.40253862738609314","0.39702168107032776","0.4080555737018585"
"150","0.401912584900856","0.39670002460479736","0.4071251451969147"
"151","0.4007776826620102","0.39549383521080017","0.4060615301132202"
"152","0.39441272616386414","0.39441272616386414","0.39441272616386414"